Feature	CPF	Disting	Distinct	Feat_Length_Including_Spaces	Number_Of_Words	BR_Label	Display
eaten_by_frying	2	D	0.500	15	3	function	eaten by frying
eaten_by_lions	1	D	1.000	14	3	function	eaten by lions
eaten_by_mashing	1	D	1.000	16	3	function	eaten by mashing
eaten_by_mice	1	D	1.000	13	3	function	eaten by mice
eaten_by_monkeys	1	D	1.000	16	3	function	eaten by monkeys
eaten_by_natives	1	D	1.000	16	3	function	eaten by natives
eaten_by_old_people	1	D	1.000	19	4	function	eaten by old people
eaten_by_peeling	4	ND	0.250	16	3	function	eaten by peeling
eaten_by_people	1	D	1.000	15	3	function	eaten by people
eaten_by_rabbits	2	D	0.500	16	3	function	eaten by rabbits
eaten_by_steaming	1	D	1.000	17	3	function	eaten by steaming
eaten_by_stuffing	1	D	1.000	17	3	function	eaten by stuffing
eaten_for_breakfast	1	D	1.000	19	3	encyclopaedic	eaten for breakfast
eaten_for_constipation	1	D	1.000	22	3	function	eaten for constipation
eaten_for_dieting	1	D	1.000	17	3	function	eaten for dieting
eaten_for_helping_digestion	1	D	1.000	27	4	function	eaten for helping digestion
eaten_in_borscht	1	D	1.000	16	3	function	eaten in borscht
eaten_in_breads	2	D	0.500	15	3	function	eaten in breads
eaten_in_cabbage_rolls	1	D	1.000	22	4	function	eaten in cabbage rolls
eaten_in_cereals	1	D	1.000	16	3	function	eaten in cereals
eaten_in_fruit_salads	1	D	1.000	21	4	function	eaten in fruit salads
eaten_in_jams	2	D	0.500	13	3	function	eaten in jams
eaten_in_martinis	1	D	1.000	17	3	function	eaten in martinis
eaten_in_pasta	1	D	1.000	14	3	function	eaten in pasta
eaten_in_pies	5	ND	0.200	13	3	function	eaten in pies
eaten_in_salads	13	ND	0.077	15	3	function	eaten in salads
eaten_in_sandwiches	4	ND	0.250	19	3	function	eaten in sandwiches
eaten_in_sauces	1	D	1.000	15	3	function	eaten in sauces
eaten_in_soups	5	ND	0.200	14	3	function	eaten in soups
eaten_in_spaghetti_sauce	1	D	1.000	24	4	function	eaten in spaghetti sauce
eaten_in_summer	5	ND	0.200	15	3	encyclopaedic	eaten in summer
eaten_on_pizza	4	ND	0.250	14	3	function	eaten on pizza
eaten_raw	4	ND	0.250	9	2	function	eaten raw
eaten_with_butter	4	ND	0.250	17	3	encyclopaedic	eaten with butter
eaten_with_cheese_sauce	1	D	1.000	23	4	encyclopaedic	eaten with cheese sauce
eaten_with_dips	1	D	1.000	15	3	encyclopaedic	eaten with dips
eaten_with_dressings	1	D	1.000	20	3	encyclopaedic	eaten with dressings
eaten_with_food	1	D	1.000	15	3	encyclopaedic	eaten with food
eaten_with_gravy	1	D	1.000	16	3	encyclopaedic	eaten with gravy
eaten_with_hamburgers	1	D	1.000	21	3	encyclopaedic	eaten with hamburgers
eaten_with_ice_cream	1	D	1.000	20	4	encyclopaedic	eaten with ice cream
eaten_with_stuffing	1	D	1.000	19	3	encyclopaedic	eaten with stuffing
eaten_with_tea	1	D	1.000	14	3	encyclopaedic	eaten with tea
eaten_with_turkey	1	D	1.000	17	3	encyclopaedic	eaten with turkey
eg_-_a_drawbridge	1	D	1.000	17	4	taxonomic	eg - a drawbridge
eg_-_a_king	1	D	1.000	11	4	taxonomic	eg - a king
eg_-_a_pull-over	1	D	1.000	16	4	taxonomic	eg - a pull-over
eg_-_acoustic	1	D	1.000	13	3	taxonomic	eg - acoustic
eg_-_apple_pie	1	D	1.000	14	4	taxonomic	eg - apple pie
eg_-_bambi	2	D	0.500	10	3	taxonomic	eg - bambi
eg_-_Barbie	1	D	1.000	11	3	taxonomic	eg - Barbie
eg_-_baseball	1	D	1.000	13	3	taxonomic	eg - baseball
eg_-_bell_bottoms	1	D	1.000	17	4	taxonomic	eg - bell bottoms
eg_-_bow	1	D	1.000	8	3	taxonomic	eg - bow
eg_-_cheddar	1	D	1.000	12	3	taxonomic	eg - cheddar
eg_-_chocolate_cake	1	D	1.000	19	4	taxonomic	eg - chocolate cake
eg_-_cowboy	1	D	1.000	11	3	taxonomic	eg - cowboy
eg_-_digital	1	D	1.000	12	3	taxonomic	eg - digital
eg_-_dolls	1	D	1.000	10	3	taxonomic	eg - dolls
eg_-_dump	1	D	1.000	9	3	taxonomic	eg - dump
eg_-_electric	1	D	1.000	13	3	taxonomic	eg - electric
eg_-_flying_saucer	1	D	1.000	18	4	taxonomic	eg - flying saucer
eg_-_grand	1	D	1.000	10	3	taxonomic	eg - grand
eg_-_granny_smith	1	D	1.000	17	4	taxonomic	eg - granny smith
eg_-_iceberg	1	D	1.000	12	3	taxonomic	eg - iceberg
eg_-_jeans	1	D	1.000	10	3	taxonomic	eg - jeans
eg_-_kidney	1	D	1.000	11	3	taxonomic	eg - kidney
eg_-_lima	1	D	1.000	9	3	taxonomic	eg - lima
eg_-_mallard	1	D	1.000	12	3	taxonomic	eg - mallard
eg_-_maraschino	1	D	1.000	15	3	taxonomic	eg - maraschino
eg_-_metal	1	D	1.000	10	3	taxonomic	eg - metal
eg_-_mini_skirt	1	D	1.000	15	4	taxonomic	eg - mini skirt
eg_-_monarch	1	D	1.000	12	3	taxonomic	eg - monarch
eg_-_mountain	1	D	1.000	13	3	taxonomic	eg - mountain
eg_-_picket	1	D	1.000	11	3	taxonomic	eg - picket
eg_-_rifle	1	D	1.000	10	3	taxonomic	eg - rifle
eg_-_romaine	1	D	1.000	12	3	taxonomic	eg - romaine
eg_-_spanish	1	D	1.000	12	3	taxonomic	eg - spanish
eg_-_sport	1	D	1.000	10	3	taxonomic	eg - sport
eg_-_Swiss	1	D	1.000	10	3	taxonomic	eg - Swiss
eg_-_ten_speed	1	D	1.000	14	4	taxonomic	eg - ten speed
eg_-_t-shirt	1	D	1.000	12	3	taxonomic	eg - t-shirt
eg_-_vanilla_cake	1	D	1.000	17	4	taxonomic	eg - vanilla cake
eg_-_wood	1	D	1.000	9	3	taxonomic	eg - wood
eg_weeping	1	D	1.000	10	2	taxonomic	eg weeping
found_at_bus_stops	1	D	1.000	18	4	encyclopaedic	found at bus stops
found_at_funerals	1	D	1.000	17	3	encyclopaedic	found at funerals
found_at_tables	1	D	1.000	15	3	encyclopaedic	found at tables
found_at_the_end_of_a_gun	1	D	1.000	25	7	encyclopaedic	found at the end of a gun
found_at_trailer_parks	1	D	1.000	22	4	encyclopaedic	found at trailer parks
found_below_ground	1	D	1.000	18	3	encyclopaedic	found below ground
found_beside_salt	1	D	1.000	17	3	encyclopaedic	found beside salt
found_by_doors	1	D	1.000	14	3	encyclopaedic	found by doors
found_in_airports	1	D	1.000	17	3	encyclopaedic	found in airports
found_in_back_yards	1	D	1.000	19	4	encyclopaedic	found in back yards
found_in_ballrooms	1	D	1.000	18	3	encyclopaedic	found in ballrooms
found_in_bars	2	D	0.500	13	3	encyclopaedic	found in bars
found_in_basements	1	D	1.000	18	3	encyclopaedic	found in basements
found_in_bathrooms	10	ND	0.100	18	3	encyclopaedic	found in bathrooms
found_in_bathtubs	1	D	1.000	17	3	encyclopaedic	found in bathtubs
found_in_bedrooms	5	ND	0.200	17	3	encyclopaedic	found in bedrooms
found_in_buildings	3	ND	0.333	18	3	encyclopaedic	found in buildings
found_in_cafeterias	1	D	1.000	19	3	encyclopaedic	found in cafeterias
found_in_cars	2	D	0.500	13	3	encyclopaedic	found in cars
found_in_cartoons	1	D	1.000	17	3	encyclopaedic	found in cartoons
found_in_cities	3	ND	0.333	15	3	encyclopaedic	found in cities
found_in_clams	1	D	1.000	14	3	encyclopaedic	found in clams
found_in_classrooms	2	D	0.500	19	3	encyclopaedic	found in classrooms
found_in_closets	1	D	1.000	16	3	encyclopaedic	found in closets
found_in_cupboards	2	D	0.500	18	3	encyclopaedic	found in cupboards
found_in_dens	1	D	1.000	13	3	encyclopaedic	found in dens
found_in_deserts	1	D	1.000	16	3	encyclopaedic	found in deserts
found_in_dining_rooms	2	D	0.500	21	4	encyclopaedic	found in dining rooms
found_in_Egypt	1	D	1.000	14	3	encyclopaedic	found in Egypt
found_in_forests	2	D	0.500	16	3	encyclopaedic	found in forests
found_in_gardens	1	D	1.000	16	3	encyclopaedic	found in gardens
found_in_grocery_stores	1	D	1.000	23	4	encyclopaedic	found in grocery stores
found_in_hair_salons	1	D	1.000	20	4	encyclopaedic	found in hair salons
found_in_hallways	1	D	1.000	17	3	encyclopaedic	found in hallways
found_in_high-rises	1	D	1.000	19	3	encyclopaedic	found in high-rises
found_in_houses	11	ND	0.091	15	3	encyclopaedic	found in houses
found_in_kitchens	32	ND	0.031	17	3	encyclopaedic	found in kitchens
found_in_laboratories	1	D	1.000	21	3	encyclopaedic	found in laboratories
found_in_large_cities	1	D	1.000	21	4	encyclopaedic	found in large cities
found_in_libraries	4	ND	0.250	18	3	encyclopaedic	found in libraries
found_in_living_rooms	2	D	0.500	21	4	encyclopaedic	found in living rooms
found_in_malls	1	D	1.000	14	3	encyclopaedic	found in malls
found_in_New_York	1	D	1.000	17	4	encyclopaedic	found in New York
found_in_oceans	1	D	1.000	15	3	encyclopaedic	found in oceans
found_in_offices	2	D	0.500	16	3	encyclopaedic	found in offices
found_in_orchestras	1	D	1.000	19	3	encyclopaedic	found in orchestras
found_in_oysters	1	D	1.000	16	3	encyclopaedic	found in oysters
found_in_parks	1	D	1.000	14	3	encyclopaedic	found in parks
found_in_rooms	1	D	1.000	14	3	encyclopaedic	found in rooms
found_in_schools	2	D	0.500	16	3	encyclopaedic	found in schools
found_in_seas	1	D	1.000	13	3	encyclopaedic	found in seas
found_in_sewing_kits	1	D	1.000	20	4	encyclopaedic	found in sewing kits
found_in_sinks	1	D	1.000	14	3	encyclopaedic	found in sinks
found_in_summer	2	D	0.500	15	3	encyclopaedic	found in summer
found_in_the_country	3	ND	0.333	20	4	encyclopaedic	found in the country
found_in_toolboxes	4	ND	0.250	18	3	encyclopaedic	found in toolboxes
found_in_trees	1	D	1.000	14	3	encyclopaedic	found in trees
found_in_vases	1	D	1.000	14	3	encyclopaedic	found in vases
found_in_water	1	D	1.000	14	3	encyclopaedic	found in water
found_in_workshops	1	D	1.000	18	3	encyclopaedic	found in workshops
found_near_the_ocean	1	D	1.000	20	4	encyclopaedic	found near the ocean
found_near_the_water	1	D	1.000	20	4	encyclopaedic	found near the water
found_on_beaches	1	D	1.000	16	3	encyclopaedic	found on beaches
found_on_beds	2	D	0.500	13	3	encyclopaedic	found on beds
found_on_belts	1	D	1.000	14	3	encyclopaedic	found on belts
found_on_boats	2	D	0.500	14	3	encyclopaedic	found on boats
found_on_ceilings	1	D	1.000	17	3	encyclopaedic	found on ceilings
found_on_chains	1	D	1.000	15	3	encyclopaedic	found on chains
found_on_chairs	1	D	1.000	15	3	encyclopaedic	found on chairs
found_on_couches	1	D	1.000	16	3	encyclopaedic	found on couches
found_on_doors	1	D	1.000	14	3	encyclopaedic	found on doors
found_on_farms	1	D	1.000	14	3	encyclopaedic	found on farms
found_on_floors	3	ND	0.333	15	3	encyclopaedic	found on floors
found_on_gifts	1	D	1.000	14	3	encyclopaedic	found on gifts
found_on_horses_backs	1	D	1.000	21	4	encyclopaedic	found on horses backs
found_on_shelves	1	D	1.000	16	3	encyclopaedic	found on shelves
found_on_shoes	1	D	1.000	14	3	encyclopaedic	found on shoes
found_on_sinks	1	D	1.000	14	3	encyclopaedic	found on sinks
found_on_tables	3	ND	0.333	15	3	encyclopaedic	found on tables
found_on_the_bottom_floor	1	D	1.000	25	5	encyclopaedic	found on the bottom floor
found_on_the_nickel	1	D	1.000	19	4	encyclopaedic	found on the nickel
found_on_walls	7	ND	0.143	14	3	encyclopaedic	found on walls
found_on_water	2	D	0.500	14	3	encyclopaedic	found on water
found_outdoors	2	D	0.500	14	2	encyclopaedic	found outdoors
found_over_bathtubs	1	D	1.000	19	3	encyclopaedic	found over bathtubs
found_over_sinks	1	D	1.000	16	3	encyclopaedic	found over sinks
found_over_water	1	D	1.000	16	3	encyclopaedic	found over water
found_underground	1	D	1.000	17	2	encyclopaedic	found underground
furniture	11	ND	0.091	9	1	taxonomic	furniture
grows_in_California	1	D	1.000	19	3	encyclopaedic	grows in California
grows_in_fields	2	D	0.500	15	3	encyclopaedic	grows in fields
grows_in_Florida	3	ND	0.333	16	3	encyclopaedic	grows in Florida
grows_in_forests	5	ND	0.200	16	3	encyclopaedic	grows in forests
grows_in_gardens	18	ND	0.056	16	3	encyclopaedic	grows in gardens
grows_in_grass	1	D	1.000	14	3	encyclopaedic	grows in grass
grows_in_Hawaii	1	D	1.000	15	3	encyclopaedic	grows in Hawaii
grows_in_oceans	1	D	1.000	15	3	encyclopaedic	grows in oceans
grows_in_patches	1	D	1.000	16	3	encyclopaedic	grows in patches
grows_in_pods	1	D	1.000	13	3	encyclopaedic	grows in pods
grows_in_seas	1	D	1.000	13	3	encyclopaedic	grows in seas
grows_in_the_ground	8	ND	0.125	19	4	encyclopaedic	grows in the ground
grows_in_the_summer	1	D	1.000	19	4	encyclopaedic	grows in the summer
grows_in_the_wild	1	D	1.000	17	4	encyclopaedic	grows in the wild
grows_in_tropical_climates	1	D	1.000	26	4	encyclopaedic	grows in tropical climates
grows_in_warm_climates	4	ND	0.250	22	4	encyclopaedic	grows in warm climates
grows_in_water	2	D	0.500	14	3	encyclopaedic	grows in water
grows_on_bushes	4	ND	0.250	15	3	encyclopaedic	grows on bushes
grows_on_houses	1	D	1.000	15	3	encyclopaedic	grows on houses
grows_on_palm_trees	1	D	1.000	19	4	encyclopaedic	grows on palm trees
grows_on_plants	2	D	0.500	15	3	encyclopaedic	grows on plants
grows_on_the_ground	3	ND	0.333	19	4	encyclopaedic	grows on the ground
grows_on_trees	19	ND	0.053	14	3	encyclopaedic	grows on trees
grows_on_vines	4	ND	0.250	14	3	encyclopaedic	grows on vines
grows_underground	4	ND	0.250	17	2	encyclopaedic	grows underground
has_>_4_wheels	1	D	1.000	14	4	visual-form_and_surface	has > 4 wheels
has_1_level	1	D	1.000	11	3	visual-form_and_surface	has 1 level
has_1_piece	1	D	1.000	11	3	visual-form_and_surface	has 1 piece
has_1_wheel	2	D	0.500	11	3	visual-form_and_surface	has 1 wheel
has_18_wheels	1	D	1.000	13	3	visual-form_and_surface	has 18 wheels
has_2_arms	1	D	1.000	10	3	visual-form_and_surface	has 2 arms
has_2_blades	1	D	1.000	12	3	visual-form_and_surface	has 2 blades
has_2_buttons	1	D	1.000	13	3	visual-form_and_surface	has 2 buttons
has_2_feet	2	D	0.500	10	3	visual-form_and_surface	has 2 feet
has_2_handles	1	D	1.000	13	3	visual-form_and_surface	has 2 handles
has_2_humps	1	D	1.000	11	3	visual-form_and_surface	has 2 humps
has_2_legs	3	ND	0.333	10	3	visual-form_and_surface	has 2 legs
has_2_pieces	2	D	0.500	12	3	visual-form_and_surface	has 2 pieces
has_2_pointed_ends	1	D	1.000	18	4	visual-form_and_surface	has 2 pointed ends
has_2_prongs	1	D	1.000	12	3	visual-form_and_surface	has 2 prongs
has_2_wheels	5	ND	0.200	12	3	visual-form_and_surface	has 2 wheels
has_3_buttons	1	D	1.000	13	3	visual-form_and_surface	has 3 buttons
has_3_legs	1	D	1.000	10	3	visual-form_and_surface	has 3 legs
has_3_prongs	1	D	1.000	12	3	visual-form_and_surface	has 3 prongs
has_3_valves	1	D	1.000	12	3	visual-form_and_surface	has 3 valves
has_3_wheels	1	D	1.000	12	3	visual-form_and_surface	has 3 wheels
has_4_doors	1	D	1.000	11	3	visual-form_and_surface	has 4 doors
has_4_hoofs	1	D	1.000	11	3	visual-form_and_surface	has 4 hoofs
has_4_legs	49	ND	0.020	10	3	visual-form_and_surface	has 4 legs
has_4_prongs	1	D	1.000	12	3	visual-form_and_surface	has 4 prongs
has_4_sides	1	D	1.000	11	3	visual-form_and_surface	has 4 sides
has_4_wheels	11	ND	0.091	12	3	visual-form_and_surface	has 4 wheels
has_6_bullets	1	D	1.000	13	3	encyclopaedic	has 6 bullets
has_6_legs	3	ND	0.333	10	3	visual-form_and_surface	has 6 legs
has_6_sides	1	D	1.000	11	3	visual-form_and_surface	has 6 sides
has_8_legs	1	D	1.000	10	3	visual-form_and_surface	has 8 legs
has_8_tentacles	1	D	1.000	15	3	visual-form_and_surface	has 8 tentacles
has_a_back	2	D	0.500	10	3	visual-form_and_surface	has a back
has_a_bag	1	D	1.000	9	3	visual-form_and_surface	has a bag
has_a_balcony	1	D	1.000	13	3	visual-form_and_surface	has a balcony
has_a_ball	1	D	1.000	10	3	visual-form_and_surface	has a ball
has_a_ball_inside	1	D	1.000	17	4	visual-form_and_surface	has a ball inside
has_a_ball_point	1	D	1.000	16	4	visual-form_and_surface	has a ball point
has_a_bar	1	D	1.000	9	3	encyclopaedic	has a bar
has_a_barrel	2	D	0.500	12	3	visual-form_and_surface	has a barrel
has_a_basement	1	D	1.000	14	3	visual-form_and_surface	has a basement
has_a_bathroom	1	D	1.000	14	3	visual-form_and_surface	has a bathroom
has_a_beak	38	ND	0.026	10	3	visual-form_and_surface	has a beak
has_a_beard	1	D	1.000	11	3	visual-form_and_surface	has a beard
has_a_bed	2	D	0.500	9	3	visual-form_and_surface	has a bed
has_a_bedroom	1	D	1.000	13	3	visual-form_and_surface	has a bedroom
has_a_bell	2	D	0.500	10	3	visual-form_and_surface	has a bell
has_a_belt	1	D	1.000	10	3	visual-form_and_surface	has a belt
has_a_bench	1	D	1.000	11	3	encyclopaedic	has a bench
has_a_bill	2	D	0.500	10	3	visual-form_and_surface	has a bill
has_a_bin	1	D	1.000	9	3	visual-form_and_surface	has a bin
has_a_blade	6	ND	0.167	11	3	visual-form_and_surface	has a blade
has_a_bow	1	D	1.000	9	3	encyclopaedic	has a bow
has_a_box_spring	1	D	1.000	16	4	visual-form_and_surface	has a box spring
has_a_breast	1	D	1.000	12	3	visual-form_and_surface	has a breast
has_a_brown_outside	1	D	1.000	19	4	visual-colour	has a brown outside
has_a_bushy_tail	1	D	1.000	16	4	visual-form_and_surface	has a bushy tail
has_a_caboose	1	D	1.000	13	3	visual-form_and_surface	has a caboose
has_a_candle	1	D	1.000	12	3	visual-form_and_surface	has a candle
has_a_cap	2	D	0.500	9	3	visual-form_and_surface	has a cap
has_a_carrying_capacity	1	D	1.000	23	4	encyclopaedic	has a carrying capacity
has_a_case	1	D	1.000	10	3	encyclopaedic	has a case
has_a_cassette_deck	1	D	1.000	19	4	visual-form_and_surface	has a cassette deck
has_a_CD_player	1	D	1.000	15	4	visual-form_and_surface	has a CD player
has_a_chain	1	D	1.000	11	3	visual-form_and_surface	has a chain
has_a_charm	1	D	1.000	11	3	visual-form_and_surface	has a charm
has_a_chin_rest	1	D	1.000	15	4	visual-form_and_surface	has a chin rest
has_a_clasp	2	D	0.500	11	3	visual-form_and_surface	has a clasp
has_a_clefted_head/claw	1	D	1.000	23	4	visual-form_and_surface	has a clefted head/claw
has_a_closet	1	D	1.000	12	3	visual-form_and_surface	has a closet
has_a_collar	2	D	0.500	12	3	visual-form_and_surface	has a collar
has_a_comb	1	D	1.000	10	3	visual-form_and_surface	has a comb
has_a_comforter	1	D	1.000	15	3	encyclopaedic	has a comforter
has_a_concave_end/ladle	1	D	1.000	23	4	visual-form_and_surface	has a concave end/ladle
has_a_congregation	1	D	1.000	18	3	encyclopaedic	has a congregation
has_a_container	1	D	1.000	15	3	visual-form_and_surface	has a container
has_a_cord	4	ND	0.250	10	3	visual-form_and_surface	has a cord
has_a_core	2	D	0.500	10	3	visual-form_and_surface	has a core
has_a_cork	1	D	1.000	10	3	visual-form_and_surface	has a cork
has_a_cover	1	D	1.000	11	3	visual-form_and_surface	has a cover
has_a_covering	1	D	1.000	14	3	visual-form_and_surface	has a covering
has_a_cross	2	D	0.500	11	3	encyclopaedic	has a cross
has_a_crust	2	D	0.500	11	3	visual-form_and_surface	has a crust
has_a_curly_end	1	D	1.000	15	4	visual-form_and_surface	has a curly end
has_a_curly_tail	1	D	1.000	16	4	visual-form_and_surface	has a curly tail
has_a_cushion	2	D	0.500	13	3	visual-form_and_surface	has a cushion
has_a_dead_nose	1	D	1.000	15	4	visual-form_and_surface	has a dead nose
has_a_dial	1	D	1.000	10	3	visual-form_and_surface	has a dial
has_a_door	5	ND	0.200	10	3	visual-form_and_surface	has a door
has_a_drain	2	D	0.500	11	3	visual-form_and_surface	has a drain
has_a_drain_plug	2	D	0.500	16	4	encyclopaedic	has a drain plug
has_a_dresser	1	D	1.000	13	3	visual-form_and_surface	has a dresser
has_a_face	1	D	1.000	10	3	visual-form_and_surface	has a face
has_a_filter	1	D	1.000	12	3	visual-form_and_surface	has a filter
has_a_finish_signal	1	D	1.000	19	4	sound	has a finish signal
has_a_fireplace	1	D	1.000	15	3	visual-form_and_surface	has a fireplace
has_a_flat_head	1	D	1.000	15	4	visual-form_and_surface	has a flat head
has_a_flat_head_(slot)	1	D	1.000	22	5	visual-form_and_surface	has a flat head (slot)
has_a_flat_surface	1	D	1.000	18	4	visual-form_and_surface	has a flat surface
has_a_foot_rest	1	D	1.000	15	4	visual-form_and_surface	has a foot rest
has_a_foundation	1	D	1.000	16	3	visual-form_and_surface	has a foundation
has_a_frame	1	D	1.000	11	3	visual-form_and_surface	has a frame
has_a_freezer	1	D	1.000	13	3	visual-form_and_surface	has a freezer
has_a_furnace	1	D	1.000	13	3	visual-form_and_surface	has a furnace
has_a_green_outside	1	D	1.000	19	4	visual-colour	has a green outside
has_a_green_stem	1	D	1.000	16	4	visual-colour	has a green stem
has_a_green_top	2	D	0.500	15	4	visual-colour	has a green top
has_a_guard	1	D	1.000	11	3	visual-form_and_surface	has a guard
has_a_hand_grip	1	D	1.000	15	4	visual-form_and_surface	has a hand grip
has_a_handle	42	ND	0.024	12	3	visual-form_and_surface	has a handle
has_a_hard_cover	1	D	1.000	16	4	visual-form_and_surface	has a hard cover
has_a_hard_shell	3	ND	0.333	16	4	tactile	has a hard shell
has_a_hay_loft	1	D	1.000	14	4	visual-form_and_surface	has a hay loft
has_a_head	7	ND	0.143	10	3	visual-form_and_surface	has a head
has_a_headboard	1	D	1.000	15	3	visual-form_and_surface	has a headboard
has_a_hidden_bed	1	D	1.000	16	4	visual-form_and_surface	has a hidden bed
has_a_hitch	1	D	1.000	11	3	visual-form_and_surface	has a hitch
has_a_hole	1	D	1.000	10	3	visual-form_and_surface	has a hole
has_a_hood	4	ND	0.250	10	3	visual-form_and_surface	has a hood
has_a_hump	1	D	1.000	10	3	visual-form_and_surface	has a hump
has_a_kitchen	2	D	0.500	13	3	visual-form_and_surface	has a kitchen
has_a_knob	1	D	1.000	10	3	visual-form_and_surface	has a knob
has_a_knot	1	D	1.000	10	3	visual-form_and_surface	has a knot
has_a_label	1	D	1.000	11	3	visual-form_and_surface	has a label
has_a_large_beak	2	D	0.500	16	4	visual-form_and_surface	has a large beak
has_a_large_pit	2	D	0.500	15	4	visual-form_and_surface	has a large pit
has_a_latch	1	D	1.000	11	3	visual-form_and_surface	has a latch
has_a_leafy_top	1	D	1.000	15	4	visual-form_and_surface	has a leafy top
has_a_lid	6	ND	0.167	9	3	visual-form_and_surface	has a lid
has_a_light_inside	3	ND	0.333	18	4	visual-form_and_surface	has a light inside
has_a_lighthouse	1	D	1.000	16	3	encyclopaedic	has a lighthouse
has_a_lining	1	D	1.000	12	3	visual-form_and_surface	has a lining
has_a_lock	4	ND	0.250	10	3	visual-form_and_surface	has a lock
has_a_long_barrel	1	D	1.000	17	4	visual-form_and_surface	has a long barrel
has_a_long_beak	2	D	0.500	15	4	visual-form_and_surface	has a long beak
has_a_long_blade	1	D	1.000	16	4	visual-form_and_surface	has a long blade
has_a_long_handle	4	ND	0.250	17	4	visual-form_and_surface	has a long handle
has_a_long_mane	1	D	1.000	15	4	visual-form_and_surface	has a long mane
has_a_long_neck	5	ND	0.200	15	4	visual-form_and_surface	has a long neck
has_a_long_tail	6	ND	0.167	15	4	visual-form_and_surface	has a long tail
has_a_long_tongue	3	ND	0.333	17	4	visual-form_and_surface	has a long tongue
has_a_mane	4	ND	0.250	10	3	visual-form_and_surface	has a mane
has_a_mask	1	D	1.000	10	3	visual-form_and_surface	has a mask
has_a_mast	1	D	1.000	10	3	visual-form_and_surface	has a mast
has_a_mattress	1	D	1.000	14	3	visual-form_and_surface	has a mattress
has_a_message	3	ND	0.333	13	3	visual-form_and_surface	has a message
has_a_metal_blade	2	D	0.500	17	4	visual-form_and_surface	has a metal blade
has_a_metal_end	1	D	1.000	15	4	visual-form_and_surface	has a metal end
has_a_metal_head	2	D	0.500	16	4	visual-form_and_surface	has a metal head
has_a_mirror_on_top	1	D	1.000	19	5	visual-form_and_surface	has a mirror on top
has_a_motor	2	D	0.500	11	3	visual-form_and_surface	has a motor
has_a_mouth	1	D	1.000	11	3	visual-form_and_surface	has a mouth
has_a_mouthpiece	1	D	1.000	16	3	visual-form_and_surface	has a mouthpiece
has_a_mouth-piece	2	D	0.500	17	3	visual-form_and_surface	has a mouth-piece
has_a_name_on_it	1	D	1.000	16	5	visual-form_and_surface	has a name on it
has_a_neck	5	ND	0.200	10	3	visual-form_and_surface	has a neck
has_a_nose	2	D	0.500	10	3	visual-form_and_surface	has a nose
has_a_nozzle	1	D	1.000	12	3	visual-form_and_surface	has a nozzle
has_a_pendant	1	D	1.000	13	3	encyclopaedic	has a pendant
has_a_periscope	1	D	1.000	15	3	visual-form_and_surface	has a periscope
has_a_Phillips_head	1	D	1.000	19	4	visual-form_and_surface	has a Phillips head
has_a_pillow_case	1	D	1.000	17	4	encyclopaedic	has a pillow case
has_a_pin	1	D	1.000	9	3	visual-form_and_surface	has a pin
has_a_pit	6	ND	0.167	9	3	visual-form_and_surface	has a pit
has_a_plug	2	D	0.500	10	3	visual-form_and_surface	has a plug
has_a_pointed_end	11	ND	0.091	17	4	visual-form_and_surface	has a pointed end
has_a_propeller	2	D	0.500	15	3	visual-form_and_surface	has a propeller
has_a_radio	1	D	1.000	11	3	visual-form_and_surface	has a radio
has_a_rattle_on_tail	1	D	1.000	20	5	visual-form_and_surface	has a rattle on tail
has_a_receiver	1	D	1.000	14	3	visual-form_and_surface	has a receiver
has_a_red_breast	1	D	1.000	16	4	visual-colour	has a red breast
has_a_red_outside	1	D	1.000	17	4	visual-colour	has a red outside
has_a_retractable_head	1	D	1.000	22	4	visual-form_and_surface	has a retractable head
has_a_ribbon	1	D	1.000	12	3	encyclopaedic	has a ribbon
has_a_ring_in_its_nose	1	D	1.000	22	6	encyclopaedic	has a ring in its nose
has_a_roof	7	ND	0.143	10	3	visual-form_and_surface	has a roof
has_a_round_end	1	D	1.000	15	4	visual-form_and_surface	has a round end
has_a_screw_end	1	D	1.000	15	4	visual-form_and_surface	has a screw end
has_a_screw_on_lid	1	D	1.000	18	5	visual-form_and_surface	has a screw on lid
has_a_seal	2	D	0.500	10	3	visual-form_and_surface	has a seal
has_a_seat	7	ND	0.143	10	3	visual-form_and_surface	has a seat
has_a_shade	1	D	1.000	11	3	visual-form_and_surface	has a shade
has_a_sheath	2	D	0.500	12	3	visual-form_and_surface	has a sheath
has_a_sheet	1	D	1.000	11	3	visual-form_and_surface	has a sheet
has_a_shell	10	ND	0.100	11	3	visual-form_and_surface	has a shell
has_a_shirt	1	D	1.000	11	3	visual-form_and_surface	has a shirt
has_a_signature	1	D	1.000	15	3	visual-form_and_surface	has a signature
has_a_siren	1	D	1.000	11	3	visual-form_and_surface	has a siren
has_a_skin	3	ND	0.333	10	3	visual-form_and_surface	has a skin
has_a_slide_valve	1	D	1.000	17	4	visual-form_and_surface	has a slide valve
has_a_snout	1	D	1.000	11	3	visual-form_and_surface	has a snout
has_a_soft_cover	1	D	1.000	16	4	visual-form_and_surface	has a soft cover
has_a_spout	1	D	1.000	11	3	visual-form_and_surface	has a spout
has_a_steering_wheel	1	D	1.000	20	4	visual-form_and_surface	has a steering wheel
